city,notes
A Coruña,
Albacete,
Alcalá de Henares,Missing from original list
Alicante,
Almería,
Almuñécar,
Ávila,
Barbate,
Barcelona,
Benalmádena,
Bilbao,
Blanes,
Burgos,
Cádiz,
Cartagena,
Castelldefels,
Castellón,
Chiclana de la Frontera,Missing from original list
Conil de la Frontera,
Córdoba,
Costa Adeje,
Cuenca,
Cuevas del Almanzora,
Denia,
Elche,
Estepona,
Fuengirola,Missing from original list
Gijón,
Girona,Duplicate in original list as both Gerona and Girona
Granada,
Guadalajara,Missing from original list
Huelva,
Ibiza,
Jaén,
Jerez de la Frontera,
Lanzarote (Arrecife),Island - city is Arrecife
Las Palmas de Gran Canaria,
León,
Lleida,Missing from original list
Logroño,
Madrid,
Málaga,
Marbella,
Murcia,
Nerja,
Oviedo,Missing from original list
Palma de Mallorca,Duplicate in original list as both Palma and Palma de Mallorca
Pamplona,
Platja d'Aro,
Prado del Rey,
Puerto de la Cruz,
Puerto de Santa María,
Rincón de la Victoria,
Ronda,
Roses (Rosas),
Sagunto,
Salamanca,
San Pedro de Alcántara,
San Sebastián,
Sanlúcar de Barrameda,Missing from original list
Santander,
Santiago de Compostela,
Segovia,
Sevilla,Duplicate in original list as both Sevilla and Seville
Soria,
Tarifa,
Tarragona,
Santa Cruz de Tenerife,Original list had island name Tenerife
Teruel,
Toledo,
Torremolinos,Missing from original list
Torrox,
Úbeda,
Valencia,
Valladolid,
Vejer de la Frontera,
Vigo,
Villanueva de Gállego,
Vitoria-Gasteiz,Missing from original list
Zaragoza,
